IMU,platform,station,stop_area,stop_position,yes
-1.019319228,NA,NA,NA,NA,NA
-0.861588593,NA,NA,NA,NA,NA
-0.49658407,NA,NA,NA,NA,NA
-0.66134249,NA,NA,NA,NA,NA
-0.686838642,NA,NA,NA,NA,NA
-1.072852762,NA,NA,NA,NA,NA
-0.06115134,NA,NA,NA,NA,NA
0.303657454,NA,NA,NA,NA,NA
-1.092581441,NA,NA,NA,NA,NA
-0.844407246,NA,NA,NA,NA,NA
0.092886457,NA,NA,NA,NA,NA
-0.898089828,NA,NA,NA,NA,NA
-0.295766743,NA,NA,NA,NA,NA
-0.321841651,NA,NA,NA,NA,NA
-0.795893093,NA,NA,NA,NA,NA
-0.464326388,NA,NA,NA,NA,NA
-0.522059481,NA,NA,NA,NA,NA
-0.667568076,NA,NA,NA,NA,NA
-0.752406189,NA,NA,NA,NA,NA
-0.96310754,NA,NA,NA,NA,NA
-0.575432886,NA,NA,NA,NA,NA
0.104108935,NA,NA,NA,NA,NA
0.529193104,NA,NA,NA,NA,NA
0.041876319,NA,NA,NA,NA,NA
-0.57754122,NA,NA,NA,NA,NA
-0.649725373,NA,NA,NA,NA,NA
-0.366200797,NA,NA,NA,NA,NA
-0.748514901,0,0,0,3.15270935960591,0
-1.067806991,NA,NA,NA,NA,NA
-1.071718362,NA,NA,NA,NA,NA
-0.514398871,NA,NA,NA,NA,NA
-0.374937876,NA,NA,NA,NA,NA
-0.63387378,NA,NA,NA,NA,NA
-0.478386674,NA,NA,NA,NA,NA
-0.366399553,NA,NA,NA,NA,NA
-1.127248578,NA,NA,NA,NA,NA
0.165389255,NA,NA,NA,NA,NA
-0.477541013,NA,NA,NA,NA,NA
-0.686443039,NA,NA,NA,NA,NA
-1.316696795,NA,NA,NA,NA,NA
-0.205337202,NA,NA,NA,NA,NA
0.115242433,NA,NA,NA,NA,NA
-1.079836184,NA,NA,NA,NA,NA
0.254429013,NA,NA,NA,NA,NA
-1.205287074,NA,NA,NA,NA,NA
-1.096363836,NA,NA,NA,NA,NA
-0.921661477,NA,NA,NA,NA,NA
-0.644333555,NA,NA,NA,NA,NA
-1.041605202,NA,NA,NA,NA,NA
-0.830296934,NA,NA,NA,NA,NA
-1.180659787,NA,NA,NA,NA,NA
0.563607121,NA,NA,NA,NA,NA
-0.41556217,NA,NA,NA,NA,NA
-0.599860216,NA,NA,NA,NA,NA
-0.699178151,NA,NA,NA,NA,NA
-0.777175087,NA,NA,NA,NA,NA
-0.477776719,NA,NA,NA,NA,NA
-1.305011297,NA,NA,NA,NA,NA
0.154193809,NA,NA,NA,NA,NA
-1.048352076,NA,NA,NA,NA,NA
-1.243387905,NA,NA,NA,NA,NA
-1.086594262,NA,NA,NA,NA,NA
-1.086146632,0,0,0,1.57635467980296,0
-0.915884569,NA,NA,NA,NA,NA
-0.678240304,NA,NA,NA,NA,NA
-0.892625644,NA,NA,NA,NA,NA
-1.122572724,NA,NA,NA,NA,NA
-1.30991546,NA,NA,NA,NA,NA
-0.732862527,NA,NA,NA,NA,NA
-1.247589513,NA,NA,NA,NA,NA
-1.036197855,NA,NA,NA,NA,NA
-0.449945451,NA,NA,NA,NA,NA
-0.596061347,NA,NA,NA,NA,NA
-0.137609498,NA,NA,NA,NA,NA
-0.313798794,NA,NA,NA,NA,NA
0.085241891,NA,NA,NA,NA,NA
0.575779309,NA,NA,NA,NA,NA
0.450347606,NA,NA,NA,NA,NA
0.211410146,NA,NA,NA,NA,NA
-0.191474705,NA,NA,NA,NA,NA
-1.14223308,NA,NA,NA,NA,NA
-1.115300704,NA,NA,NA,NA,NA
-0.638567738,NA,NA,NA,NA,NA
-0.979217968,NA,NA,NA,NA,NA
-0.597533537,NA,NA,NA,NA,NA
-0.574259807,NA,NA,NA,NA,NA
-0.998599985,NA,NA,NA,NA,NA
-0.964736092,NA,NA,NA,NA,NA
-0.881958188,NA,NA,NA,NA,NA
-0.885873226,NA,NA,NA,NA,NA
-0.607460158,NA,NA,NA,NA,NA
-0.561057497,NA,NA,NA,NA,NA
-0.189149108,NA,NA,NA,NA,NA
-0.000460833,NA,NA,NA,NA,NA
-0.172450309,NA,NA,NA,NA,NA
-1.231912603,NA,NA,NA,NA,NA
-0.955355213,NA,NA,NA,NA,NA
-0.157426387,NA,NA,NA,NA,NA
-0.579636951,NA,NA,NA,NA,NA
-1.271768171,NA,NA,NA,NA,NA
-1.414594528,NA,NA,NA,NA,NA
-1.028131831,NA,NA,NA,NA,NA
-0.571696533,NA,NA,NA,NA,NA
-0.605109342,NA,NA,NA,NA,NA
-1.03938362,NA,NA,NA,NA,NA
-0.889742573,NA,NA,NA,NA,NA
-0.944305883,NA,NA,NA,NA,NA
-1.334128981,NA,NA,NA,NA,NA
-1.280824262,NA,NA,NA,NA,NA
-1.048236742,NA,NA,NA,NA,NA
-0.600096571,NA,NA,NA,NA,NA
-1.16794352,NA,NA,NA,NA,NA
-1.045431087,NA,NA,NA,NA,NA
-0.760509922,NA,NA,NA,NA,NA
-1.110802981,NA,NA,NA,NA,NA
-0.853780988,NA,NA,NA,NA,NA
-0.376317214,NA,NA,NA,NA,NA
-0.598178908,NA,NA,NA,NA,NA
-0.747926298,NA,NA,NA,NA,NA
-0.977716695,NA,NA,NA,NA,NA
-0.987359835,NA,NA,NA,NA,NA
-0.695802677,NA,NA,NA,NA,NA
-1.067053405,NA,NA,NA,NA,NA
-0.820125668,NA,NA,NA,NA,NA
-0.669338342,NA,NA,NA,NA,NA
-0.402906631,NA,NA,NA,NA,NA
-0.487103215,NA,NA,NA,NA,NA
-1.222287521,NA,NA,NA,NA,NA
-1.302942546,NA,NA,NA,NA,NA
-0.307749419,NA,NA,NA,NA,NA
-1.030419507,NA,NA,NA,NA,NA
-0.504316494,NA,NA,NA,NA,NA
-0.789920351,NA,NA,NA,NA,NA
-0.390446883,NA,NA,NA,NA,NA
-0.794966142,0,0,0,3.15270935960591,0
-1.221708561,NA,NA,NA,NA,NA
-1.300025519,NA,NA,NA,NA,NA
-1.206492315,NA,NA,NA,NA,NA
-1.084637199,NA,NA,NA,NA,NA
-0.860953896,NA,NA,NA,NA,NA
0.372981721,NA,NA,NA,NA,NA
-0.192534208,NA,NA,NA,NA,NA
0.020578172,NA,NA,NA,NA,NA
-0.823029576,NA,NA,NA,NA,NA
